title,rating,year,actors,languages,runtime,url
Bringing Up Baby,7.9,1938,Katharine Hepburn;Cary Grant;Charles Ruggles;Walter Catlett,English,102,https://www.imdb.com//title/tt0029947/
Engelen met smerige gezichten,7.9,1938,James Cagney;Pat O'Brien;Humphrey Bogart;Ann Sheridan,English,97,https://www.imdb.com//title/tt0029870/
La règle du jeu,8.0,1939,Marcel Dalio;Nora Gregor;Paulette Dubost;Mila Parély,French;German;English,110,https://www.imdb.com//title/tt0031885/
Gejaagd door de wind,8.1,1939,George Cukor;Sam Wood;Clark Gable;Vivien Leigh;Thomas Mitchell;Barbara O'Neil,English,238,https://www.imdb.com//title/tt0031381/
Mr. Smith Goes to Washington,8.1,1939,James Stewart;Jean Arthur;Claude Rains;Edward Arnold,English,129,https://www.imdb.com//title/tt0031679/
Of Mice and Men,7.9,1939,Lon Chaney Jr.;Burgess Meredith;Betty Field;Charles Bickford,English,106,https://www.imdb.com//title/tt0031742/
The Wizard of Oz,8.0,1939,George Cukor;Mervyn LeRoy;Norman Taurog;Richard Thorpe;King Vidor;Judy Garland;Frank Morgan;Ray Bolger;Bert Lahr,English,102,https://www.imdb.com//title/tt0032138/
Rebecca,8.1,1940,Laurence Olivier;Joan Fontaine;George Sanders;Judith Anderson,English;French,130,https://www.imdb.com//title/tt0032976/
De dictator,8.4,1940,Charles Chaplin;Paulette Goddard;Jack Oakie;Reginald Gardiner,English;Esperanto,125,https://www.imdb.com//title/tt0032553/
De bronzen godin,7.9,1940,Cary Grant;Katharine Hepburn;James Stewart;Ruth Hussey,English;French,112,https://www.imdb.com//title/tt0032904/
The Grapes of Wrath,8.1,1940,Henry Fonda;Jane Darwell;John Carradine;Charley Grapewin,English,129,https://www.imdb.com//title/tt0032551/
The Shop Around the Corner,8.1,1940,Margaret Sullavan;James Stewart;Frank Morgan;Joseph Schildkraut,English,99,https://www.imdb.com//title/tt0033045/
The Little Foxes,8.0,1941,Bette Davis;Herbert Marshall;Teresa Wright;Richard Carlson,English,116,https://www.imdb.com//title/tt0033836/
The Maltese Falcon,8.0,1941,Humphrey Bogart;Mary Astor;Gladys George;Peter Lorre,English,100,https://www.imdb.com//title/tt0033870/
