title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
The Great Escape,172,Adventure;Drama;History,John Sturges,Paul Brickhill;James Clavell,Steve McQueen;James Garner;Richard Attenborough,8.3,116956
Der Untergang,156,Biography;Drama;History,Oliver Hirschbiegel,Bernd Eichinger;Joachim Fest,Bruno Ganz;Alexandra Maria Lara;Ulrich Matthes,8.3,179073
On the Waterfront,108,Crime;Drama,Elia Kazan,Budd Schulberg;Budd Schulberg,Marlon Brando;Karl Malden;Lee J. Cobb,8.3,72203
Up,96,Animation;Adventure;Drama,Pete Docter;Bob Peterson,Pete Docter;Bob Peterson,Edward Asner;Jordan Nagai;John Ratzenberger,8.3,410717
The Kid,68,Comedy;Drama;Family,Charles Chaplin,Charles Chaplin,Charles Chaplin;Edna Purviance;Jackie Coogan,8.4,38670
Heat,170,Action;Crime;Drama,Michael Mann,Michael Mann,Al Pacino;Robert De Niro;Val Kilmer,8.3,315661
The General,107,Action;Adventure;Comedy,Clyde Bruckman;Buster Keaton,Buster Keaton;Clyde Bruckman,Buster Keaton;Marion Mack;Glen Cavender,8.3,36457
Ikiru,143,Drama,Akira Kurosawa,Akira Kurosawa;Shinobu Hashimoto,Takashi Shimura;Nobuo Kaneko;Shin'ichi Himori,8.4,28574
Det sjunde inseglet,96,Drama;Fantasy,Ingmar Bergman,Ingmar Bergman;Ingmar Bergman,Max von Sydow;Gunnar Björnstrand;Bengt Ekerot,8.3,78368
The Elephant Man,124,Biography;Drama,David Lynch,Christopher De Vore;Eric Bergren,Anthony Hopkins;John Hurt;Anne Bancroft,8.3,117017
Scarface,170,Crime;Drama,Brian De Palma,Oliver Stone,Al Pacino;Michelle Pfeiffer;Steven Bauer,8.3,367830
Blade Runner,117,Drama;Sci-Fi;Thriller,Ridley Scott,Hampton Fancher;David Webb Peoples,Harrison Ford;Rutger Hauer;Sean Young,8.3,342919
The Maltese Falcon,100,Crime;Drama;Film-Noir,John Huston,John Huston;Dashiell Hammett,Humphrey Bogart;Mary Astor;Gladys George,8.2,84164
Smultronstället,91,Drama,Ingmar Bergman,Ingmar Bergman,Victor Sjöström;Bibi Andersson;Ingrid Thulin,8.3,44062
Rebecca,130,Drama;Mystery;Thriller,Alfred Hitchcock,Daphne Du Maurier;Robert E. Sherwood,Laurence Olivier;Joan Fontaine;George Sanders,8.3,64031
Fargo,98,Crime;Drama;Thriller,Joel Coen;Ethan Coen,Ethan Coen;Joel Coen,William H. Macy;Frances McDormand;Steve Buscemi,8.2,302303
Gran Torino,116,Drama,Clint Eastwood,Nick Schenk;Dave Johannson,Clint Eastwood;Bee Vang;Christopher Carley,8.2,393945
Ran,162,Action;Drama;War,Akira Kurosawa,Akira Kurosawa;Hideo Oguni,Tatsuya Nakadai;Akira Terao;Jinpachi Nezu,8.3,57403
The Big Lebowski,117,Comedy;Crime,Joel Coen;Ethan Coen,Ethan Coen;Joel Coen,Jeff Bridges;John Goodman;Julianne Moore,8.2,369852
The Gold Rush,95,Adventure;Comedy;Family,Charles Chaplin,Charles Chaplin,Charles Chaplin;Mack Swain;Tom Murray,8.3,43892
Het gebeurde op 'n avond,105,Comedy;Romance,Frank Capra,Robert Riskin;Samuel Hopkins Adams,Clark Gable;Claudette Colbert;Walter Connolly,8.3,45242
Jagten,115,Drama,Thomas Vinterberg,Tobias Lindholm;Thomas Vinterberg,Mads Mikkelsen;Thomas Bo Larsen;Annika Wedderkopp,8.3,66220
Cool Hand Luke,126,Crime;Drama,Stuart Rosenberg,Donn Pearce;Frank Pierson,Paul Newman;George Kennedy;Strother Martin,8.2,88428
The Deer Hunter,182,Drama;War,Michael Cimino,Michael Cimino;Deric Washburn,Robert De Niro;Christopher Walken;John Cazale,8.2,170306
Touch of Evil,95,Crime;Film-Noir;Thriller,Orson Welles,Orson Welles;Whit Masterson,Charlton Heston;Orson Welles;Janet Leigh,8.2,54313
Demonen,114,Mystery;Thriller,Henri-Georges Clouzot,Pierre Boileau;Thomas Narcejac,Simone Signoret;Véra Clouzot;Paul Meurisse,8.3,28375
"Lock, Stock and Two Smoking Barrels",107,Crime;Thriller,Guy Ritchie,Guy Ritchie,Jason Flemyng;Dexter Fletcher;Nick Moran,8.2,295911
Good Will Hunting,126,Drama,Gus Van Sant,Matt Damon;Ben Affleck,Robin Williams;Matt Damon;Ben Affleck,8.2,399324
Oordeel te Neurenberg,186,Drama;History;War,Stanley Kramer,Abby Mann;Abby Mann,Spencer Tracy;Burt Lancaster;Richard Widmark,8.3,27678
The Sixth Sense,107,Drama;Mystery;Thriller,M. Night Shyamalan,M. Night Shyamalan,Bruce Willis;Haley Joel Osment;Toni Collette,8.2,503650
Casino,178,Biography;Crime;Drama,Martin Scorsese,Nicholas Pileggi;Nicholas Pileggi,Robert De Niro;Sharon Stone;Joe Pesci,8.2,230118
No Country for Old Men,122,Crime;Drama;Thriller,Ethan Coen;Joel Coen,Joel Coen;Ethan Coen,Tommy Lee Jones;Javier Bardem;Josh Brolin,8.2,422568
Butch Cassidy and the Sundance Kid,110,Adventure;Biography;Crime,George Roy Hill,William Goldman,Paul Newman;Robert Redford;Katharine Ross,8.2,108333
Gone with the Wind,238,Drama;Romance;War,Victor Fleming;George Cukor,Margaret Mitchell;Sidney Howard,Clark Gable;Vivien Leigh;Thomas Mitchell,8.2,156345
Platoon,120,Action;Drama;War,Oliver Stone,Oliver Stone,Charlie Sheen;Tom Berenger;Willem Dafoe,8.2,212636
Trainspotting,94,Crime;Drama,Danny Boyle,Irvine Welsh;John Hodge,Ewan McGregor;Ewen Bremner;Jonny Lee Miller,8.2,333551
Kill Bill: Vol. 1,111,Action;Crime,Quentin Tarantino,Quentin Tarantino;Quentin Tarantino,Uma Thurman;David Carradine;Daryl Hannah,8.2,497120
Sin City,124,Crime;Thriller,Frank Miller;Robert Rodriguez,Frank Miller,Mickey Rourke;Clive Owen;Bruce Willis,8.2,480765
Jaws,124,Adventure;Horror;Thriller,Steven Spielberg,Peter Benchley;Carl Gottlieb,Roy Scheider;Robert Shaw;Richard Dreyfuss,8.1,283270
The Thing,109,Horror;Mystery;Sci-Fi,John Carpenter,Bill Lancaster;John W. Campbell Jr.,Kurt Russell;Wilford Brimley;Keith David,8.2,184248
The Wizard of Oz,102,Adventure;Family;Fantasy,Victor Fleming;George Cukor,Noel Langley;Florence Ryerson,Judy Garland;Frank Morgan;Ray Bolger,8.2,203941
The Grapes of Wrath,129,Drama,John Ford,Nunnally Johnson;John Steinbeck,Henry Fonda;Jane Darwell;John Carradine,8.2,44411
Strangers on a Train,101,Crime;Film-Noir;Thriller,Alfred Hitchcock,Raymond Chandler;Czenzi Ormonde,Farley Granger;Robert Walker;Ruth Roman,8.2,67587
Hotel Rwanda,121,Biography;Drama;History,Terry George,Keir Pearson;Terry George,Don Cheadle;Sophie Okonedo;Joaquin Phoenix,8.2,190389
Annie Hall,93,Comedy;Romance,Woody Allen,Woody Allen;Marshall Brickman,Woody Allen;Diane Keaton;Tony Roberts,8.2,134793
El secreto de sus ojos,129,Drama;Mystery;Thriller,Juan José Campanella,Eduardo Sacheri;Juan José Campanella,Ricardo Darín;Soledad Villamil;Pablo Rago,8.3,79204
Tonari no Totoro,86,Animation;Drama;Family,Hayao Miyazaki,Hayao Miyazaki,Hitoshi Takagi;Noriko Hidaka;Toshiyuki Amagasa,8.3,96740
V for Vendetta,132,Action;Sci-Fi;Thriller,James McTeigue,Andy Wachowski;Lana Wachowski,Hugo Weaving;Natalie Portman;Rupert Graves,8.2,542469
Warrior,140,Drama;Sport,Gavin O'Connor,Gavin O'Connor;Anthony Tambakis,Tom Hardy;Nick Nolte;Joel Edgerton,8.3,210918
Finding Nemo,100,Animation;Adventure;Comedy,Andrew Stanton;Lee Unkrich,Andrew Stanton;Andrew Stanton,Albert Brooks;Ellen DeGeneres;Alexander Gould,8.2,436812
Klokslag 12,85,Drama;Western,Fred Zinnemann,Carl Foreman;John W. Cunningham,Gary Cooper;Grace Kelly;Thomas Mitchell,8.2,59257
Dial M for Murder,105,Crime;Thriller,Alfred Hitchcock,Frederick Knott;Frederick Knott,Ray Milland;Grace Kelly;Robert Cummings,8.2,70278
Into the Wild,148,Adventure;Biography;Drama,Sean Penn,Sean Penn;Jon Krakauer,Emile Hirsch;Vince Vaughn;Catherine Keener,8.2,283243
How to Train Your Dragon,98,Animation;Adventure;Comedy,Dean DeBlois;Chris Sanders,William Davies;Dean DeBlois,Jay Baruchel;Gerard Butler;Christopher Mintz-Plasse,8.2,274169
Life of Brian,94,Comedy,Terry Jones,Graham Chapman;John Cleese,Graham Chapman;John Cleese;Michael Palin,8.2,193711
Rush,123,Action;Biography;Drama,Ron Howard,Peter Morgan,Daniel Brühl;Chris Hemsworth;Olivia Wilde,8.3,106475
The Avengers,143,Action;Fantasy,Joss Whedon,Joss Whedon;Zak Penn,Robert Downey Jr.;Chris Evans;Scarlett Johansson,8.2,616261
Notorious,101,Drama;Film-Noir;Romance,Alfred Hitchcock,Ben Hecht,Cary Grant;Ingrid Bergman;Claude Rains,8.2,54901
De beste jaren van ons leven,172,Drama;Romance;War,William Wyler,Robert E. Sherwood;MacKinlay Kantor,Fredric March;Dana Andrews;Myrna Loy,8.3,29124
